,quality,style,norm_fixed_acidity,norm_volatile_acidity,norm_citric_acid,norm_residual_sugar,norm_chlorides,norm_free_sulfur_dioxide,norm_total_sulfur_dioxide,norm_density,norm_pH,norm_sulphates,norm_alcohol
0,0,0,0.2975206611570248,0.41333333333333333,0.0,0.019938650306748462,0.11129568106312293,0.034722222222222224,0.06451612903225806,0.2060921534605742,0.6124031007751937,0.19101123595505623,0.20289855072463772
1,0,0,0.33057851239669417,0.5333333333333333,0.0,0.03067484662576687,0.1478405315614618,0.08333333333333333,0.14055299539170507,0.18681318681318645,0.37209302325581406,0.25842696629213485,0.2608695652173914
2,0,0,0.33057851239669417,0.45333333333333337,0.024096385542168676,0.026073619631901836,0.1378737541528239,0.04861111111111111,0.11059907834101383,0.1906689801426636,0.4186046511627905,0.2415730337078652,0.2608695652173914
3,1,0,0.6115702479338841,0.13333333333333333,0.3373493975903615,0.019938650306748462,0.10963455149501662,0.05555555555555555,0.12442396313364056,0.2099479467900513,0.3410852713178295,0.20224719101123595,0.2608695652173914
4,0,0,0.2975206611570248,0.41333333333333333,0.0,0.019938650306748462,0.11129568106312293,0.034722222222222224,0.06451612903225806,0.2060921534605742,0.6124031007751937,0.19101123595505623,0.20289855072463772
5,0,0,0.2975206611570248,0.3866666666666667,0.0,0.018404907975460124,0.10963455149501662,0.041666666666666664,0.07834101382488479,0.2060921534605742,0.6124031007751937,0.19101123595505623,0.20289855072463772
6,0,0,0.33884297520661155,0.3466666666666667,0.03614457831325301,0.015337423312883436,0.09966777408637875,0.04861111111111111,0.12211981566820276,0.17910160015423007,0.44961240310077505,0.1348314606741573,0.20289855072463772
7,2,0,0.2892561983471074,0.38000000000000006,0.0,0.00920245398773006,0.09302325581395349,0.04861111111111111,0.03456221198156682,0.14439946018893388,0.5193798449612405,0.14044943820224717,0.2898550724637681
8,2,0,0.33057851239669417,0.3333333333333333,0.012048192771084338,0.021472392638036807,0.10631229235880399,0.027777777777777776,0.027649769585253458,0.18681318681318645,0.4961240310077518,0.19662921348314605,0.21739130434782608
9,0,0,0.30578512396694213,0.27999999999999997,0.21686746987951808,0.0843558282208589,0.10299003322259136,0.05555555555555555,0.22119815668202766,0.2060921534605742,0.4883720930232559,0.3258426966292135,0.36231884057971014
10,0,0,0.2396694214876033,0.3333333333333333,0.04819277108433735,0.018404907975460124,0.14617940199335547,0.04861111111111111,0.1359447004608295,0.1694621168305373,0.4341085271317828,0.17977528089887643,0.17391304347826075
11,0,0,0.30578512396694213,0.27999999999999997,0.21686746987951808,0.0843558282208589,0.10299003322259136,0.05555555555555555,0.22119815668202766,0.2060921534605742,0.4883720930232559,0.3258426966292135,0.36231884057971014
12,0,0,0.14876033057851237,0.3566666666666667,0.0,0.015337423312883436,0.13289036544850502,0.052083333333333336,0.12211981566820276,0.13861577019471608,0.6666666666666667,0.16853932584269665,0.27536231884057977
